,Station,Lines,Transfers,Location,Opened,Structure,latitude,longitude
118,Bryn Mawr,Red,—,Edgewater,"May 16, 1908[a] [64]",Elevated,,
119,Berwyn,Red,—,Edgewater,1917,Elevated,,
120,Argyle,Red,—,Little Vietnam,"May 16, 1908[a] [64]",Elevated,,
121,Lawrence,Red,—,Uptown,"February 27, 1923[66]",Elevated,,
122,Wilson  Ⓣ,Red Purple,—,Uptown,"May 31, 1900[5]",Elevated,,
123,Sheridan,Red,—,Lake View,"May 31, 1900[5]",Elevated,,
124,Addison,Red,—,Wrigleyville,"June 6, 1900[26]",Elevated,,
125,North/Clybourn,Red,—,Near North Side,"October 17, 1943[67]",Underground,,
126,Clark/Division,Red,—,Near North Side,"October 17, 1943[67]",Underground,,
127,Chicago,Red,—,Near North Side,"October 17, 1943[67]",Underground,,
128,Grand,Red,—,River North / Streeterville,"October 17, 1943[67]",Underground,,
129,Lake  Ⓣ,Red,Brown Green Orange Pink Purple (at State/Lake) Blue (at Washington),The Loop,"October 17, 1943[67]",Underground,,
130,Monroe,Red,—,The Loop,"October 17, 1943[67]",Underground,,
131,Jackson  Ⓣ,Red,Blue (at Jackson) Brown  Orange Pink Purple (at Library),The Loop,"October 17, 1943[67]",Underground,,
132,Harrison,Red,—,South Loop,"October 17, 1943[67]",Underground,,
133,Roosevelt  Ⓣ,Red,Green Orange Metra: ME (at Museum Campus/11th Street)NICTD:  (at Museum Campus/11th Street),Near South Side,"October 17, 1943[67]",Underground,,
134,Cermak–Chinatown,Red,—,Chinatown,"September 28, 1969[68]",Elevated,,
135,Sox–35th,Red,Metra: RI (at Jones/Bronzeville),Armour Square,"September 28, 1969[68]",Expressway median,,
136,47th,Red,—,Fuller Park,"September 28, 1969[68]",Expressway median,,
137,Garfield,Red,—,Fuller Park,"September 28, 1969[68]",Expressway median,,
138,63rd,Red,—,Englewood,"September 28, 1969[68]",Expressway median,,
139,69th,Red,—,Greater Grand Crossing,"September 28, 1969[68]",Expressway median,,
140,79th,Red,—,Chatham,"September 28, 1969[68]",Expressway median,,
141,87th,Red,—,Chatham,"September 28, 1969[68]",Expressway median,,
142,95th/Dan Ryan,Red,—,Roseland,"September 28, 1969[68]",Expressway median,,
143,Dempster–Skokie,Yellow,—,Skokie,"March 28, 1925[69]",At-grade,,
144,Oakton–Skokie,Yellow,—,Skokie,"March 28, 1925[70]",At-grade,,
